price,mileage,trim,location
14250,57035,base,JACKSONVILLE
17600,57338,lx,AUGUSTA
18550,57564,se,COLUMBIA
16200,57688,se,ATLANTA
14950,57725,base,AUGUSTA
13300,58056,base,JACKSONVILLE
16800,59650,lx,COLUMBIA
14350,59786,base,COLUMBIA
14100,59823,base,COLUMBIA
17500,60028,lx,AUGUSTA
19750,60084,se,AUGUSTA
14900,60401,base,COLUMBIA
17700,60449,lx,COLUMBIA
17800,61058,se,ATLANTA
15150,62118,lx,CHARLOTTE
13600,63634,base,CHARLOTTE
15000,63726,base,JACKSONVILLE
17700,64286,lx,AUGUSTA
13300,64367,base,CHARLOTTE
13300,64452,base,AUGUSTA
12100,64563,base,AUGUSTA
15650,64737,lx,JACKSONVILLE
16700,65160,se,COLUMBIA
18000,65219,se,ATLANTA
13300,65230,base,JACKSONVILLE
15950,65499,lx,ATLANTA
17250,65968,lx,CHARLOTTE
15150,68227,lx,JACKSONVILLE
17150,68576,se,CHARLOTTE
17450,70381,se,CHARLOTTE
15050,70423,base,AUGUSTA
12600,70533,base,JACKSONVILLE
13850,70778,base,ATLANTA
13050,70941,base,COLUMBIA
15950,71509,lx,AUGUSTA
14100,72354,lx,AUGUSTA
12250,72366,base,AUGUSTA
16550,72953,lx,AUGUSTA
16700,73145,se,COLUMBIA
15500,73188,lx,COLUMBIA
14150,73472,lx,JACKSONVILLE
14550,73585,lx,CHARLOTTE
14600,74234,lx,CHARLOTTE
15450,74600,se,ATLANTA
16700,74644,se,JACKSONVILLE
16150,74696,se,JACKSONVILLE
13050,74918,base,JACKSONVILLE
11650,75706,base,JACKSONVILLE
13600,75742,lx,CHARLOTTE
12200,75790,base,ATLANTA
15750,76021,lx,AUGUSTA
17350,76042,se,AUGUSTA
15150,76413,lx,JACKSONVILLE
10800,77365,base,ATLANTA
12600,77398,base,JACKSONVILLE
14050,77789,lx,JACKSONVILLE
13200,78860,base,AUGUSTA
14050,79470,lx,JACKSONVILLE
16900,79581,se,COLUMBIA
13950,80647,lx,CHARLOTTE
16450,80792,se,ATLANTA
13000,80891,lx,CHARLOTTE
14550,81200,lx,ATLANTA
14150,81428,lx,JACKSONVILLE
11550,81724,base,JACKSONVILLE
14150,81917,lx,CHARLOTTE
11500,82271,base,ATLANTA
11850,82429,base,CHARLOTTE
13550,82459,lx,AUGUSTA
12750,82526,base,ATLANTA
13850,82712,lx,CHARLOTTE
14850,82885,se,COLUMBIA
11550,82954,base,JACKSONVILLE
14500,83593,se,ATLANTA
10250,83655,base,JACKSONVILLE
10600,83748,base,JACKSONVILLE
10550,84381,base,COLUMBIA
11850,84392,lx,CHARLOTTE
12750,85122,base,JACKSONVILLE
10300,85734,base,JACKSONVILLE
10500,85821,base,ATLANTA
14400,86211,lx,ATLANTA
10000,86581,base,CHARLOTTE
11850,86615,base,ATLANTA
14900,86619,se,ATLANTA
13300,87180,lx,CHARLOTTE
10700,87336,base,JACKSONVILLE
12800,88273,se,CHARLOTTE
10000,88407,base,ATLANTA
12850,88454,lx,COLUMBIA
16050,88664,se,COLUMBIA
11100,88688,lx,JACKSONVILLE
14200,91032,lx,JACKSONVILLE
11950,91450,lx,COLUMBIA
10000,91847,base,COLUMBIA
13750,92050,se,CHARLOTTE
14900,92443,se,CHARLOTTE
12650,93413,lx,COLUMBIA
10000,93803,base,CHARLOTTE
13150,94142,lx,COLUMBIA
10600,95045,base,JACKSONVILLE
13800,95225,se,JACKSONVILLE
13500,96776,se,COLUMBIA
12750,96952,lx,CHARLOTTE
10100,97401,base,ATLANTA
10000,97656,base,COLUMBIA
10000,98050,base,CHARLOTTE
11950,98620,se,CHARLOTTE
11950,99414,lx,ATLANTA
10050,99689,base,CHARLOTTE
