Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS
6/15/2026,LAD,TBR,1,DH,4,0,0,0,0,0,0,0,0
6/14/2026,LAD,@CHW,1,DH,5,0,0,0,0,0,0,0,0
6/13/2026,LAD,@CHW,1,DH,6,1,0,0,1,2,1,0,0
6/11/2026,LAD,@PIT,1,DH,4,2,0,0,1,2,1,0,0
6/10/2026,LAD,@PIT,1,DH-P,5,1,0,0,1,1,2,0,0
6/9/2026,LAD,@PIT,1,DH,5,1,1,0,0,1,2,0,0
6/7/2026,LAD,LAA,1,DH,5,2,0,0,0,1,0,0,0
6/6/2026,LAD,LAA,1,DH,5,2,0,0,1,2,2,0,0
6/5/2026,LAD,LAA,1,DH,4,0,0,0,0,0,0,0,0
6/3/2026,LAD,@ARI,1,DH-P,6,3,0,0,0,1,0,0,0
6/2/2026,LAD,@ARI,1,DH,5,2,1,1,0,2,2,0,0
6/1/2026,LAD,@ARI,1,DH,4,3,1,0,0,1,0,0,0
5/31/2026,LAD,PHI,1,DH,5,2,0,0,0,0,0,0,0
5/30/2026,LAD,PHI,1,DH,5,1,0,0,0,0,0,0,0
5/29/2026,LAD,PHI,1,DH,4,3,0,0,1,1,1,0,0
5/27/2026,LAD,COL,1,DH-P,4,1,0,0,1,1,1,0,0
5/26/2026,LAD,COL,1,DH,3,0,0,0,0,1,0,0,0
5/25/2026,LAD,COL,1,DH,4,1,1,0,0,1,1,0,0
5/24/2026,LAD,@MIL,1,DH,5,0,0,0,0,0,0,0,0
5/23/2026,LAD,@MIL,1,DH,6,2,0,0,0,0,1,0,0
5/22/2026,LAD,@MIL,1,DH,5,1,0,0,0,0,1,0,1
5/20/2026,LAD,@SDP,1,DH-P,5,1,0,0,1,2,1,0,0
5/19/2026,LAD,@SDP,1,DH,4,2,2,0,0,1,1,0,0
5/18/2026,LAD,@SDP,1,DH,4,2,0,0,0,0,0,0,1
5/17/2026,LAD,@LAA,1,DH,5,3,0,0,0,1,2,0,0
5/16/2026,LAD,@LAA,1,DH,6,2,1,1,0,2,5,1,0
5/15/2026,LAD,@LAA,1,DH,5,1,1,0,0,0,0,0,0
5/13/2026,LAD,SFG,0,P,0,0,0,0,0,0,0,0,0
5/12/2026,LAD,SFG,1,DH,5,2,0,0,1,2,1,0,0
5/11/2026,LAD,SFG,1,DH,5,0,0,0,0,0,0,0,0
5/10/2026,LAD,ATL,1,DH,4,0,0,0,0,0,0,0,0
5/9/2026,LAD,ATL,1,DH,4,1,0,0,0,0,0,0,0
5/8/2026,LAD,ATL,1,DH,4,1,0,0,0,0,1,0,0
5/6/2026,LAD,@HOU,1,DH,5,2,1,0,0,2,1,1,0
5/5/2026,LAD,@HOU,0,P,0,0,0,0,0,0,0,0,0
5/4/2026,LAD,@HOU,1,DH,5,0,0,0,0,2,1,0,0
5/3/2026,LAD,@STL,1,DH,5,0,0,0,0,0,0,0,0
5/2/2026,LAD,@STL,1,DH,4,0,0,0,0,0,0,0,0
5/1/2026,LAD,@STL,1,DH,5,0,0,0,0,0,0,0,0
4/29/2026,LAD,MIA,1,DH,5,0,0,0,0,0,0,1,0
4/28/2026,LAD,MIA,0,P,0,0,0,0,0,0,0,0,0
4/27/2026,LAD,MIA,1,DH,5,3,1,0,0,2,1,0,0
4/26/2026,LAD,CHC,1,DH,4,3,1,0,1,2,1,1,0
4/25/2026,LAD,CHC,1,DH,5,1,0,0,0,2,0,1,0
4/24/2026,LAD,CHC,1,DH,4,0,0,0,0,0,0,0,0
4/23/2026,LAD,@SFG,1,DH,5,0,0,0,0,0,0,0,0
4/22/2026,LAD,@SFG,1,DH-P,4,0,0,0,0,0,0,0,0
4/21/2026,LAD,@SFG,1,DH,4,1,0,0,0,0,0,0,0
4/20/2026,LAD,@COL,1,DH,6,1,0,0,0,2,0,1,0
4/19/2026,LAD,@COL,1,DH,5,2,2,0,0,1,1,0,0
4/18/2026,LAD,@COL,1,DH,5,1,0,0,0,1,0,0,0
4/17/2026,LAD,@COL,1,DH,5,2,1,0,0,1,0,0,0
4/15/2026,LAD,NYM,0,P,0,0,0,0,0,0,0,0,0
4/14/2026,LAD,NYM,1,DH,4,0,0,0,0,0,0,0,0
4/13/2026,LAD,NYM,1,DH,5,0,0,0,0,1,0,0,0
4/12/2026,LAD,TEX,1,DH,5,1,0,0,1,1,1,0,0
4/11/2026,LAD,TEX,1,DH,4,2,0,0,1,1,1,0,0
4/10/2026,LAD,TEX,1,DH,5,1,0,0,0,0,0,0,0
4/8/2026,LAD,@TOR,1,DH-P,5,0,0,0,0,0,0,0,0
4/7/2026,LAD,@TOR,1,DH,5,1,0,0,0,0,1,0,0
4/6/2026,LAD,@TOR,1,DH,6,2,0,0,1,2,1,0,0
4/5/2026,LAD,@WSN,1,DH,5,2,1,0,1,1,2,0,0
4/4/2026,LAD,@WSN,1,DH,6,2,0,0,0,1,0,0,0
4/3/2026,LAD,@WSN,1,DH,6,2,0,0,1,1,4,0,0
4/1/2026,LAD,CLE,1,DH,4,0,0,0,0,0,0,0,0
3/31/2026,LAD,CLE,1,DH-P,5,1,0,0,0,0,0,0,0
3/30/2026,LAD,CLE,1,DH,4,1,0,0,0,0,0,0,0
3/28/2026,LAD,ARI,1,DH,4,0,0,0,0,0,0,0,0
3/27/2026,LAD,ARI,1,DH,4,0,0,0,0,1,0,0,0
3/26/2026,LAD,ARI,1,DH,5,1,0,0,0,1,0,0,0
9/28/2025,LAD,@SEA,1,DH,5,3,1,0,1,2,1,0,0
9/26/2025,LAD,@SEA,1,DH,4,0,0,0,0,0,0,1,0
9/25/2025,LAD,@ARI,1,DH,5,1,0,0,1,1,2,0,0
9/24/2025,LAD,@ARI,1,DH,5,1,0,1,0,1,0,0,0
9/23/2025,LAD,@ARI,1,DH-P,4,0,0,0,0,1,0,0,0
9/21/2025,LAD,SFG,1,DH,4,1,0,0,0,0,0,0,0
9/20/2025,LAD,SFG,1,DH,5,1,0,0,1,2,1,0,0
9/19/2025,LAD,SFG,1,DH,4,1,0,0,1,1,3,0,0
9/18/2025,LAD,SFG,1,DH,4,2,2,0,0,1,0,0,0
9/17/2025,LAD,PHI,1,DH,4,1,0,0,1,1,1,0,0
9/16/2025,LAD,PHI,1,DH-P,5,2,0,0,1,1,1,0,0
9/15/2025,LAD,PHI,1,DH,5,1,1,0,0,0,0,1,0
9/14/2025,LAD,@SFG,1,DH,6,1,0,0,0,1,0,0,0
9/13/2025,LAD,@SFG,1,DH,6,3,0,0,1,3,1,0,0
9/12/2025,LAD,@SFG,1,DH,5,0,0,0,0,0,0,0,0
9/10/2025,LAD,COL,1,DH,5,1,0,0,0,2,1,0,0
9/9/2025,LAD,COL,1,DH,4,1,0,0,0,1,1,1,0
9/8/2025,LAD,COL,1,DH,4,1,1,0,0,1,0,0,0
9/7/2025,LAD,@BAL,1,DH,5,2,0,0,2,2,2,0,0
9/6/2025,LAD,@BAL,1,DH,5,1,0,0,0,0,1,0,0
9/5/2025,LAD,@BAL,1,DH-P,4,0,0,0,0,0,0,0,0
9/4/2025,LAD,@PIT,1,DH,4,0,0,0,0,0,0,0,0
9/3/2025,LAD,@PIT,1,DH,5,2,1,0,0,0,0,0,0
9/2/2025,LAD,@PIT,1,DH,5,3,2,0,1,1,2,0,0
8/31/2025,LAD,ARI,1,DH,4,1,0,0,0,1,0,0,0
8/30/2025,LAD,ARI,1,DH,4,0,0,0,0,0,0,0,0
8/29/2025,LAD,ARI,1,DH,4,1,0,0,0,0,0,0,0
8/27/2025,LAD,CIN,1,DH-P,5,1,0,0,0,1,0,0,0
8/26/2025,LAD,CIN,1,DH,5,1,0,0,0,0,1,0,0
8/25/2025,LAD,CIN,1,DH,4,0,0,0,0,0,0,0,0
8/24/2025,LAD,@SDP,1,DH,5,1,0,0,1,2,1,0,0
8/23/2025,LAD,@SDP,1,DH,4,0,0,0,0,0,0,0,0
8/22/2025,LAD,@SDP,1,DH,4,0,0,0,0,0,0,0,0
8/20/2025,LAD,@COL,1,DH-P,3,1,1,0,0,0,0,0,0
8/19/2025,LAD,@COL,1,DH,6,1,0,0,1,2,2,0,0
8/18/2025,LAD,@COL,1,DH,4,2,0,0,0,0,1,0,0
8/17/2025,LAD,SDP,1,DH,4,1,0,0,0,1,0,0,0
8/16/2025,LAD,SDP,1,DH,4,1,0,0,0,2,0,0,0
8/15/2025,LAD,SDP,1,DH,4,0,0,0,0,0,1,0,1
8/13/2025,LAD,@LAA,1,DH-P,5,1,0,1,0,1,0,0,0
8/12/2025,LAD,@LAA,1,DH,5,1,0,0,1,2,1,0,0
8/11/2025,LAD,@LAA,1,DH,4,1,0,0,1,1,1,0,0
8/10/2025,LAD,TOR,1,DH,6,2,0,0,1,1,1,1,1
8/9/2025,LAD,TOR,1,DH,5,2,0,0,1,2,1,0,0
8/8/2025,LAD,TOR,1,DH,5,3,1,0,0,2,0,0,0
8/6/2025,LAD,STL,1,DH-P,4,1,0,0,1,1,2,0,0
8/5/2025,LAD,STL,1,DH,5,2,1,0,0,3,0,1,0
8/4/2025,LAD,STL,1,DH,4,1,0,0,0,0,0,0,0
8/3/2025,LAD,@TBR,1,DH,5,2,1,0,0,1,0,2,0
8/2/2025,LAD,@TBR,2,DH,4,1,0,0,0,0,0,0,0
8/1/2025,LAD,@TBR,2,DH,5,2,0,0,0,1,0,0,0
7/30/2025,LAD,@CIN,2,DH-P,5,0,0,0,0,0,0,0,0
7/29/2025,LAD,@CIN,2,DH,5,0,0,0,0,0,0,0,0
7/28/2025,LAD,@CIN,2,DH,5,1,1,0,0,1,2,0,0
7/27/2025,LAD,@BOS,2,DH,5,2,0,0,0,0,0,0,0
7/26/2025,LAD,@BOS,1,DH,4,1,0,0,1,1,1,0,0
7/25/2025,LAD,@BOS,1,DH,5,1,0,0,0,1,0,0,0
7/23/2025,LAD,MIN,2,DH,5,1,0,0,1,2,1,0,0
7/22/2025,LAD,MIN,2,DH,5,1,0,0,1,1,2,0,0
7/21/2025,LAD,MIN,2,DH-P,4,1,0,0,1,1,2,0,0
7/20/2025,LAD,MIL,2,DH,4,1,0,0,1,1,2,0,0
7/19/2025,LAD,MIL,1,DH,5,2,0,0,1,1,3,0,0
7/18/2025,LAD,MIL,1,DH,4,0,0,0,0,0,0,1,0
7/13/2025,LAD,@SFG,1,DH,5,1,0,0,0,2,0,0,0
7/12/2025,LAD,@SFG,1,DH-P,4,0,0,0,0,0,0,0,0
7/11/2025,LAD,@SFG,1,DH,5,1,0,0,1,1,2,0,0
7/9/2025,LAD,@MIL,1,DH,5,0,0,0,0,0,1,0,0
7/8/2025,LAD,@MIL,1,DH,4,1,0,0,1,1,1,0,0
7/7/2025,LAD,@MIL,1,DH,4,2,0,0,0,1,0,0,0
7/6/2025,LAD,HOU,1,DH,4,0,0,0,0,0,0,0,0
7/5/2025,LAD,HOU,1,DH-P,5,1,0,0,0,0,0,0,0
7/4/2025,LAD,HOU,1,DH,4,0,0,0,0,0,0,0,0
7/3/2025,LAD,CHW,1,DH,4,0,0,0,0,2,0,0,0
7/2/2025,LAD,CHW,1,DH,5,1,0,0,0,1,1,1,0
7/1/2025,LAD,CHW,1,DH,4,1,0,0,1,1,1,0,0
6/29/2025,LAD,@KCR,1,DH,4,0,0,0,0,0,0,0,0
6/28/2025,LAD,@KCR,1,DH-P,4,0,0,0,0,0,0,0,0
6/27/2025,LAD,@KCR,1,DH,4,2,0,1,1,2,2,0,0
6/26/2025,LAD,@COL,1,DH,4,1,0,0,1,1,1,0,0
6/25/2025,LAD,@COL,1,DH,5,1,0,0,0,2,0,0,0
6/24/2025,LAD,@COL,1,DH,5,1,0,0,1,1,2,0,0
6/22/2025,LAD,WSN,1,DH-P,5,2,0,1,1,3,5,0,0
6/21/2025,LAD,WSN,1,DH,4,0,0,0,0,0,0,0,0
6/20/2025,LAD,WSN,1,DH,5,1,0,0,0,0,1,0,0
6/19/2025,LAD,SDP,1,DH,5,1,0,0,0,0,0,0,0
6/18/2025,LAD,SDP,1,DH,4,0,0,0,0,0,0,0,0
6/17/2025,LAD,SDP,1,DH,5,0,0,0,0,0,0,0,0
6/16/2025,LAD,SDP,1,DH-P,5,2,1,0,0,0,2,0,0
6/15/2025,LAD,SFG,1,DH,4,3,0,0,0,2,0,0,0
6/14/2025,LAD,SFG,1,DH,5,2,0,0,2,3,2,0,0
6/13/2025,LAD,SFG,1,DH,4,0,0,0,0,0,0,0,0
6/11/2025,LAD,@SDP,1,DH,5,1,0,1,0,1,0,0,0
6/10/2025,LAD,@SDP,1,DH,3,1,0,0,0,0,0,0,0
6/9/2025,LAD,@SDP,1,DH,6,1,1,0,0,1,0,0,0
6/8/2025,LAD,@STL,1,DH,5,1,1,0,0,0,0,0,0
6/7/2025,LAD,@STL,1,DH,5,1,0,0,0,1,0,0,0
6/6/2025,LAD,@STL,1,DH,4,1,0,0,0,0,0,0,0
6/5/2025,LAD,NYM,1,DH,4,2,0,0,0,1,0,0,0
6/4/2025,LAD,NYM,1,DH,4,2,0,0,0,0,0,0,0
6/3/2025,LAD,NYM,1,DH,5,0,0,0,0,0,0,0,0
6/2/2025,LAD,NYM,1,DH,5,1,0,0,1,1,2,0,0
6/1/2025,LAD,NYY,1,DH,4,0,0,0,0,0,0,0,0
5/31/2025,LAD,NYY,1,DH,4,2,0,0,0,2,0,0,0
5/30/2025,LAD,NYY,1,DH,5,2,0,0,2,2,2,0,0
5/28/2025,LAD,@CLE,1,DH,4,0,0,0,0,0,0,0,0
5/27/2025,LAD,@CLE,1,DH,5,1,0,0,1,2,2,0,0
5/26/2025,LAD,@CLE,1,DH,5,1,0,0,1,3,1,0,0
5/25/2025,LAD,@NYM,1,DH,4,1,0,0,1,1,1,0,0
5/24/2025,LAD,@NYM,1,DH,4,0,0,0,0,0,0,0,0
5/23/2025,LAD,@NYM,1,DH,6,1,0,0,0,1,0,0,1
5/21/2025,LAD,ARI,1,DH,4,0,0,0,0,0,0,0,0
5/20/2025,LAD,ARI,1,DH,5,1,1,0,0,1,0,1,0
5/19/2025,LAD,ARI,1,DH,4,1,0,0,1,1,1,0,0
5/18/2025,LAD,LAA,1,DH,5,3,0,0,0,1,1,0,0
5/17/2025,LAD,LAA,1,DH,6,0,0,0,0,0,0,0,0
5/16/2025,LAD,LAA,1,DH,4,2,0,0,1,1,1,0,0
5/15/2025,LAD,ATH,1,DH,6,2,0,0,2,2,6,0,0
5/14/2025,LAD,ATH,1,DH,5,2,0,0,1,2,1,0,0
5/13/2025,LAD,ATH,1,DH,4,0,0,0,0,0,0,0,0
5/11/2025,LAD,@ARI,1,DH,5,2,0,0,0,1,1,0,1
5/10/2025,LAD,@ARI,1,DH,4,1,0,0,0,0,0,0,0
5/9/2025,LAD,@ARI,1,DH,6,3,2,0,1,2,4,0,0
5/8/2025,LAD,@ARI,1,DH,5,1,0,0,1,1,1,0,0
5/7/2025,LAD,@MIA,1,DH,5,1,0,1,0,2,0,0,1
5/6/2025,LAD,@MIA,1,DH,5,2,1,0,1,1,2,0,0
5/5/2025,LAD,@MIA,1,DH,5,1,0,0,1,2,2,1,0
5/4/2025,LAD,@ATL,1,DH,4,1,1,0,0,0,0,0,0
5/3/2025,LAD,@ATL,1,DH,5,3,0,0,1,3,1,0,0
5/2/2025,LAD,@ATL,1,DH,4,0,0,0,0,0,0,0,0
4/30/2025,LAD,MIA,1,DH,5,1,0,1,0,3,0,1,0
4/29/2025,LAD,MIA,1,DH,5,1,0,0,1,2,1,1,0
4/28/2025,LAD,MIA,1,DH,5,1,0,0,0,1,0,1,0
4/27/2025,LAD,PIT,1,DH,5,2,1,0,0,1,0,0,0
4/26/2025,LAD,PIT,1,DH,5,3,2,1,0,2,1,1,0
4/25/2025,LAD,PIT,1,DH,4,0,0,0,0,0,0,0,0
4/23/2025,LAD,@CHC,1,DH,5,1,0,0,0,0,0,0,0
4/22/2025,LAD,@CHC,1,DH,5,1,0,0,0,2,0,0,0
4/20/2025,LAD,@TEX,1,DH,4,0,0,0,0,0,0,0,0
4/16/2025,LAD,COL,1,DH,5,2,0,0,1,1,2,0,0
4/15/2025,LAD,COL,1,DH,5,0,0,0,0,2,0,1,0
4/14/2025,LAD,COL,1,DH,5,3,0,0,1,3,1,0,0
4/13/2025,LAD,CHC,1,DH,5,0,0,0,0,0,0,0,0
4/12/2025,LAD,CHC,1,DH,3,1,0,0,0,0,0,1,0
4/11/2025,LAD,CHC,1,DH,4,0,0,0,0,0,0,0,0
4/9/2025,LAD,@WSN,1,DH,5,2,0,0,0,2,0,1,0
4/8/2025,LAD,@WSN,1,DH,5,1,0,0,0,0,0,0,0
4/7/2025,LAD,@WSN,1,DH,5,3,0,1,1,1,2,0,0
4/6/2025,LAD,@PHI,1,DH,5,0,0,0,0,1,0,0,0
4/5/2025,LAD,@PHI,1,DH,4,0,0,0,0,0,0,0,0
4/4/2025,LAD,@PHI,1,DH,4,1,0,0,0,0,0,0,1
4/2/2025,LAD,ATL,1,DH,5,3,0,0,1,1,1,0,0
4/1/2025,LAD,ATL,1,DH,4,1,0,0,0,1,0,0,0
3/31/2025,LAD,ATL,1,DH,5,0,0,0,0,1,0,1,0
3/29/2025,LAD,DET,1,DH,4,0,0,0,0,2,0,1,0
3/28/2025,LAD,DET,1,DH,5,1,0,0,0,1,0,0,0
3/27/2025,LAD,DET,1,DH,4,2,0,0,1,2,1,0,0
3/19/2025,LAD,@CHC,1,DH,5,1,0,0,1,1,1,0,0
3/18/2025,LAD,@CHC,1,DH,5,2,1,0,0,2,0,0,0
9/29/2024,LAD,@COL,1,DH,4,1,0,0,0,0,0,1,0
9/28/2024,LAD,@COL,1,DH,6,2,0,0,0,1,0,1,0
9/27/2024,LAD,@COL,1,DH,5,4,1,0,1,2,4,1,0
9/26/2024,LAD,SDP,1,DH,5,3,1,0,0,1,1,0,0
9/25/2024,LAD,SDP,1,DH,4,2,1,0,0,1,2,1,0
9/24/2024,LAD,SDP,1,DH,4,1,1,0,0,1,0,0,0
9/22/2024,LAD,COL,1,DH,5,4,0,0,1,2,1,2,0
9/21/2024,LAD,COL,1,DH,5,1,0,0,0,1,0,1,0
9/20/2024,LAD,COL,1,DH,4,3,0,0,1,2,2,1,0
9/19/2024,LAD,@MIA,1,DH,6,6,2,0,3,4,10,2,0
9/18/2024,LAD,@MIA,1,DH,5,1,0,0,0,0,0,1,0
9/17/2024,LAD,@MIA,1,DH,5,1,0,0,1,1,2,0,0
9/16/2024,LAD,@ATL,1,DH,5,0,0,0,0,1,2,0,0
9/15/2024,LAD,@ATL,1,DH,5,2,2,0,0,1,2,0,0
9/14/2024,LAD,@ATL,1,DH,3,0,0,0,0,0,0,0,0
9/13/2024,LAD,@ATL,1,DH,4,0,0,0,0,0,0,0,0
9/11/2024,LAD,CHC,1,DH,5,2,0,0,1,1,3,1,0
9/10/2024,LAD,CHC,1,DH,4,0,0,0,0,0,0,0,0
9/9/2024,LAD,CHC,1,DH,5,2,0,0,0,2,0,1,0
9/8/2024,LAD,CLE,1,DH,4,2,0,0,1,1,1,0,0
9/7/2024,LAD,CLE,1,DH,4,0,0,0,0,0,0,0,0
9/6/2024,LAD,CLE,1,DH,4,2,0,0,1,1,1,0,0
9/4/2024,LAD,@LAA,1,DH,4,0,0,0,0,0,0,0,0
9/3/2024,LAD,@LAA,1,DH,5,1,0,1,0,2,1,0,0
9/2/2024,LAD,@ARI,1,DH,6,2,0,0,0,2,0,3,0
9/1/2024,LAD,@ARI,1,DH,4,0,0,0,0,0,0,0,0
8/31/2024,LAD,@ARI,1,DH,6,1,0,0,1,1,2,0,0
8/30/2024,LAD,@ARI,1,DH,5,2,1,0,1,2,1,1,0
8/29/2024,LAD,BAL,1,DH,5,0,0,0,0,0,0,0,0
8/28/2024,LAD,BAL,1,DH,4,2,0,0,1,3,1,2,0
8/27/2024,LAD,BAL,1,DH,4,2,0,0,0,1,0,0,0
8/25/2024,LAD,TBR,1,DH,4,0,0,0,0,1,0,0,0
8/24/2024,LAD,TBR,1,DH,5,2,0,0,1,2,2,0,0
8/23/2024,LAD,TBR,1,DH,5,2,0,0,1,1,4,1,0
8/21/2024,LAD,SEA,1,DH,5,1,0,0,0,2,0,1,0
8/20/2024,LAD,SEA,1,DH,5,2,0,1,0,0,0,1,0
8/19/2024,LAD,SEA,1,DH,4,1,0,0,0,0,0,0,0
8/18/2024,LAD,@STL,1,DH,5,1,0,0,1,1,1,0,0
8/17/2024,LAD,@STL,1,DH,4,1,0,0,1,2,1,2,0
8/16/2024,LAD,@STL,1,DH,5,0,0,0,0,0,0,0,0
8/15/2024,LAD,@MIL,1,DH,5,1,0,0,0,0,0,0,0
8/14/2024,LAD,@MIL,1,DH,5,0,0,0,0,1,0,2,0
8/13/2024,LAD,@MIL,1,DH,5,1,0,0,1,1,1,0,0
8/12/2024,LAD,@MIL,1,DH,4,1,0,0,1,2,2,1,0
8/11/2024,LAD,PIT,1,DH,6,1,0,1,0,0,0,0,0
8/10/2024,LAD,PIT,1,DH,4,0,0,0,0,0,0,0,0
8/9/2024,LAD,PIT,1,DH,4,1,0,0,1,1,2,0,0
8/7/2024,LAD,PHI,1,DH,5,0,0,0,0,0,0,0,0
8/6/2024,LAD,PHI,1,DH,4,0,0,0,0,0,0,0,0
8/5/2024,LAD,PHI,1,DH,4,2,1,0,1,1,2,1,0
8/4/2024,LAD,@OAK,1,DH,4,0,0,0,0,0,0,0,0
8/3/2024,LAD,@OAK,1,DH,6,2,0,0,0,1,0,3,0
8/2/2024,LAD,@OAK,1,DH,5,1,0,0,1,1,3,0,0
7/31/2024,LAD,@SDP,1,DH,4,0,0,0,0,0,0,0,0
7/30/2024,LAD,@SDP,1,DH,5,0,0,0,0,1,0,1,0
7/28/2024,LAD,@HOU,1,DH,5,0,0,0,0,1,0,1,0
7/27/2024,LAD,@HOU,1,DH,5,2,0,0,1,2,2,1,0
7/26/2024,LAD,@HOU,1,DH,4,2,1,0,0,0,0,1,0
7/25/2024,LAD,SFG,1,DH,5,2,1,0,1,1,1,0,0
7/24/2024,LAD,SFG,1,DH,4,0,0,0,0,0,0,0,0
7/23/2024,LAD,SFG,1,DH,5,2,1,0,0,0,3,1,0
7/22/2024,LAD,SFG,1,DH,4,0,0,0,0,0,0,0,1
7/21/2024,LAD,BOS,1,DH,4,1,0,0,1,1,1,0,0
7/20/2024,LAD,BOS,1,DH,6,1,1,0,0,1,0,0,0
7/19/2024,LAD,BOS,1,DH,4,1,1,0,0,1,0,0,0
7/14/2024,LAD,@DET,1,DH,4,2,0,0,0,0,0,0,1
7/13/2024,LAD,@DET,1,DH,6,2,0,1,1,3,2,1,0
7/12/2024,LAD,@DET,1,DH,5,1,1,0,0,0,1,0,0
7/11/2024,LAD,@PHI,1,DH,4,0,0,0,0,0,0,0,0
7/10/2024,LAD,@PHI,1,DH,4,2,0,0,0,0,1,1,0
7/9/2024,LAD,@PHI,1,DH,3,1,0,0,0,0,0,1,0
7/7/2024,LAD,MIL,1,DH,5,1,0,0,0,0,0,2,0
7/6/2024,LAD,MIL,1,DH,5,2,0,1,1,2,1,1,0
7/5/2024,LAD,MIL,1,DH,5,0,0,0,0,0,0,0,0
7/4/2024,LAD,ARI,1,DH,4,0,0,0,0,0,0,1,0
7/3/2024,LAD,ARI,1,DH,4,1,0,0,0,1,0,0,0
